,locality,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
0,Ham,HOUSE,VILLA,429500.0,4.0,215.0,INSTALLED,0,0.0,0,0.0,1,0.0,1472.0,4.0,0,GOOD
1,Putte,HOUSE,HOUSE,599000.0,5.0,167.0,INSTALLED,0,0.0,1,0.0,1,95.0,416.0,4.0,0,JUST_RENOVATED
2,IVOZ-RAMET,HOUSE,HOUSE,20000.0,3.0,130.0,INSTALLED,0,0.0,1,0.0,0,0.0,182.0,3.0,0,GOOD
3,Herstal,HOUSE,HOUSE,45000.0,2.0,120.0,USA_INSTALLED,1,0.0,1,12.0,1,80.0,221.0,2.0,0,TO_BE_DONE_UP
4,Liege,HOUSE,HOUSE,109000.0,2.0,62.0,SEMI_EQUIPPED,0,0.0,0,0.0,0,0.0,45.0,2.0,0,TO_BE_DONE_UP
5,Liège Grivegnée,HOUSE,HOUSE,119000.0,2.0,80.0,INSTALLED,0,0.0,1,45.0,0,0.0,113.0,2.0,0,TO_RENOVATE
6,Charleroi,HOUSE,APARTMENT_BLOCK,120000.0,3.0,175.0,SEMI_EQUIPPED,0,0.0,0,0.0,0,0.0,98.0,2.0,0,TO_RENOVATE
7,Marchin,HOUSE,HOUSE,129500.0,2.0,90.0,SEMI_EQUIPPED,0,0.0,1,30.0,1,0.0,275.0,2.0,0,TO_BE_DONE_UP
8,Somme-Leuze,HOUSE,CHALET,135000.0,2.0,44.0,USA_INSTALLED,1,0.0,1,20.0,1,265.0,309.0,4.0,0,TO_BE_DONE_UP
9,Durbuy,HOUSE,CHALET,135000.0,2.0,44.0,USA_INSTALLED,1,0.0,1,20.0,1,265.0,309.0,4.0,0,TO_BE_DONE_UP
10,ETHE,HOUSE,HOUSE,150000.0,4.0,140.0,SEMI_EQUIPPED,0,0.0,0,0.0,1,0.0,186.0,3.0,0,TO_RENOVATE
11,Huy,HOUSE,HOUSE,165000.0,3.0,108.0,SEMI_EQUIPPED,0,0.0,1,9.0,0,0.0,55.0,2.0,0,GOOD
12,Trooz,HOUSE,HOUSE,165000.0,3.0,140.0,NOT_INSTALLED,0,0.0,1,20.0,1,80.0,269.0,3.0,0,TO_RENOVATE
13,Olne,HOUSE,HOUSE,165000.0,3.0,140.0,NOT_INSTALLED,0,0.0,1,20.0,1,80.0,269.0,3.0,0,TO_RENOVATE
14,Liège,HOUSE,HOUSE,180000.0,2.0,66.0,INSTALLED,0,0.0,1,28.0,0,0.0,55.0,3.0,0,GOOD
15,Sprimont,HOUSE,HOUSE,180000.0,3.0,146.0,INSTALLED,0,0.0,1,32.0,0,0.0,124.0,2.0,0,GOOD
16,Trooz,HOUSE,HOUSE,189000.0,2.0,135.0,NOT_INSTALLED,0,0.0,1,20.0,1,180.0,397.0,3.0,0,TO_BE_DONE_UP
17,Huy,HOUSE,HOUSE,189500.0,4.0,110.0,SEMI_EQUIPPED,0,0.0,1,0.0,0,0.0,185.0,3.0,0,GOOD
18,GRAIDE,HOUSE,HOUSE,195000.0,3.0,140.0,SEMI_EQUIPPED,0,0.0,0,0.0,1,0.0,420.0,3.0,0,GOOD
19,Huy,HOUSE,HOUSE,199000.0,4.0,164.0,SEMI_EQUIPPED,0,0.0,1,81.0,0,0.0,215.0,4.0,0,GOOD
20,Modave,HOUSE,COUNTRY_COTTAGE,199000.0,3.0,168.0,INSTALLED,0,1.0,0,0.0,1,1340.0,1750.0,4.0,0,GOOD
21,Trooz,HOUSE,HOUSE,199000.0,3.0,125.0,INSTALLED,0,0.0,1,10.0,1,100.0,328.0,3.0,0,AS_NEW
22,Willebroek,HOUSE,HOUSE,210000.0,2.0,216.0,INSTALLED,0,0.0,0,0.0,0,0.0,160.0,3.0,0,TO_BE_DONE_UP
23,Amay,HOUSE,HOUSE,219500.0,1.0,160.0,INSTALLED,0,0.0,1,0.0,1,0.0,112.0,2.0,0,GOOD
24,IVOZ-RAMET,HOUSE,HOUSE,220000.0,2.0,100.0,INSTALLED,0,0.0,1,35.0,1,380.0,509.0,3.0,0,GOOD
25,Herstal,HOUSE,HOUSE,225000.0,2.0,81.0,NOT_DEFINED,0,0.0,1,9.0,1,104.0,225.0,3.0,0,JUST_RENOVATED
26,Seraing,HOUSE,HOUSE,225000.0,3.0,180.0,INSTALLED,0,1.0,0,0.0,1,55.0,150.0,3.0,0,TO_BE_DONE_UP
27,Liège Wandre,HOUSE,HOUSE,229000.0,3.0,120.0,SEMI_EQUIPPED,0,0.0,1,32.0,1,250.0,503.0,3.0,0,TO_BE_DONE_UP
28,Wanze,HOUSE,HOUSE,229000.0,3.0,146.0,INSTALLED,0,0.0,1,65.0,1,186.0,363.0,3.0,0,GOOD
29,Gesves,HOUSE,HOUSE,229000.0,3.0,181.0,SEMI_EQUIPPED,0,0.0,1,12.0,1,1450.0,1670.0,3.0,0,TO_BE_DONE_UP
30,pilar de la horadada,APARTMENT,APARTMENT,295000.0,3.0,94.0,NOT_DEFINED,0,0.0,1,0.0,0,0.0,0.0,0.0,1,UNKNOWN
31,Evergem,HOUSE,HOUSE,425000.0,3.0,171.0,NOT_DEFINED,0,0.0,0,0.0,0,0.0,826.0,0.0,0,TO_RENOVATE
32,Brakel,HOUSE,HOUSE,145000.0,3.0,122.0,NOT_DEFINED,0,0.0,0,0.0,1,0.0,868.0,0.0,0,TO_RENOVATE
33,Geraardsbergen,HOUSE,HOUSE,168000.0,3.0,104.0,INSTALLED,0,0.0,0,0.0,0,0.0,60.0,0.0,0,AS_NEW
34,Brugge,HOUSE,HOUSE,335000.0,5.0,229.0,NOT_DEFINED,0,0.0,1,0.0,0,0.0,565.0,3.0,0,TO_RENOVATE
35,Pentagone (Bruxelles),HOUSE,APARTMENT_BLOCK,1290000.0,5.0,526.0,NOT_DEFINED,0,0.0,1,16.0,0,0.0,105.0,3.0,0,UNKNOWN
36,Ursel,APARTMENT,APARTMENT,279900.0,2.0,105.0,NOT_DEFINED,0,0.0,0,0.0,0,0.0,0.0,2.0,0,GOOD
37,Laeken,APARTMENT,APARTMENT,269000.0,2.0,95.0,INSTALLED,0,0.0,1,18.0,0,0.0,0.0,2.0,0,JUST_RENOVATED
38,Lendelede,HOUSE,HOUSE,269000.0,3.0,254.0,NOT_DEFINED,0,0.0,0,0.0,0,0.0,333.0,2.0,0,GOOD
39,Kortemark,HOUSE,HOUSE,349000.0,3.0,140.0,NOT_DEFINED,0,0.0,0,0.0,0,0.0,877.0,3.0,0,GOOD
40,Herselt (Ramsel),HOUSE,HOUSE,199000.0,2.0,166.0,NOT_DEFINED,0,0.0,0,0.0,0,0.0,508.0,4.0,0,TO_RENOVATE
41,Hamme,HOUSE,VILLA,895000.0,4.0,375.0,HYPER_EQUIPPED,0,0.0,1,32.0,0,0.0,2549.0,4.0,0,GOOD
42,Hasselt,APARTMENT,APARTMENT,229000.0,3.0,105.0,NOT_DEFINED,0,0.0,1,1.0,0,0.0,0.0,2.0,0,GOOD
43,Maldegem,HOUSE,HOUSE,270000.0,4.0,195.89453526389536,NOT_DEFINED,0,0.0,0,0.0,0,0.0,755.0,0.0,0,TO_RENOVATE
44,Frasnes-lez-Anvaing,HOUSE,HOUSE,385000.0,4.0,220.0,NOT_DEFINED,0,0.0,1,15.0,1,625.0,750.0,0.0,0,UNKNOWN
