,locality,type of property,subtype of property,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
0,Ham,HOUSE,VILLA,429500.0,4.0,215.0,INSTALLED,,-1.0,,,True,,1472,4,,GOOD
1,Putte,HOUSE,HOUSE,599000.0,5.0,167.0,INSTALLED,,-1.0,True,,True,95.0,416,4,,JUST_RENOVATED
2,IVOZ-RAMET,HOUSE,HOUSE,20000.0,3.0,130.0,INSTALLED,,-1.0,True,,,,182,3,,GOOD
3,Herstal,HOUSE,HOUSE,45000.0,2.0,120.0,USA_INSTALLED,True,,True,12.0,True,80.0,221,2,False,TO_BE_DONE_UP
4,Liege,HOUSE,HOUSE,109000.0,2.0,62.0,SEMI_EQUIPPED,False,,,,,,45,2,False,TO_BE_DONE_UP
5,Liège Grivegnée,HOUSE,HOUSE,119000.0,2.0,80.0,INSTALLED,False,,True,45.0,,,113,2,False,TO_RENOVATE
6,Charleroi,HOUSE,APARTMENT_BLOCK,120000.0,3.0,175.0,SEMI_EQUIPPED,,-1.0,,,,,98,2,,TO_RENOVATE
7,Marchin,HOUSE,HOUSE,129500.0,2.0,90.0,SEMI_EQUIPPED,,-1.0,True,30.0,True,,275,2,,TO_BE_DONE_UP
8,Somme-Leuze,HOUSE,CHALET,135000.0,2.0,44.0,USA_INSTALLED,True,,True,20.0,True,265.0,309,4,False,TO_BE_DONE_UP
9,Durbuy,HOUSE,CHALET,135000.0,2.0,44.0,USA_INSTALLED,True,,True,20.0,True,265.0,309,4,False,TO_BE_DONE_UP
10,ETHE,HOUSE,HOUSE,150000.0,4.0,140.0,SEMI_EQUIPPED,,-1.0,,,True,,186,3,,TO_RENOVATE
11,Huy,HOUSE,HOUSE,165000.0,3.0,108.0,SEMI_EQUIPPED,,-1.0,True,9.0,,,55,2,,GOOD
12,Trooz,HOUSE,HOUSE,165000.0,3.0,140.0,NOT_INSTALLED,False,,True,20.0,True,80.0,269,3,False,TO_RENOVATE
13,Olne,HOUSE,HOUSE,165000.0,3.0,140.0,NOT_INSTALLED,False,,True,20.0,True,80.0,269,3,False,TO_RENOVATE
14,Liège,HOUSE,HOUSE,180000.0,2.0,66.0,INSTALLED,False,,True,28.0,,,55,3,False,GOOD
15,Sprimont,HOUSE,HOUSE,180000.0,3.0,146.0,INSTALLED,False,,True,32.0,,,124,2,False,GOOD
16,Trooz,HOUSE,HOUSE,189000.0,2.0,135.0,NOT_INSTALLED,False,,True,20.0,True,180.0,397,3,False,TO_BE_DONE_UP
17,Huy,HOUSE,HOUSE,189500.0,4.0,110.0,SEMI_EQUIPPED,,-1.0,True,,,,185,3,,GOOD
18,GRAIDE,HOUSE,HOUSE,195000.0,3.0,140.0,SEMI_EQUIPPED,,-1.0,,,True,,420,3,,GOOD
19,Huy,HOUSE,HOUSE,199000.0,4.0,164.0,SEMI_EQUIPPED,,-1.0,True,81.0,,,215,4,,GOOD
20,Modave,HOUSE,COUNTRY_COTTAGE,199000.0,3.0,168.0,INSTALLED,,1.0,,,True,1340.0,1750,4,,GOOD
21,Trooz,HOUSE,HOUSE,199000.0,3.0,125.0,INSTALLED,False,,True,10.0,True,100.0,328,3,False,AS_NEW
22,Willebroek,HOUSE,HOUSE,210000.0,2.0,216.0,INSTALLED,,-1.0,,,,,160,3,,TO_BE_DONE_UP
23,Amay,HOUSE,HOUSE,219500.0,1.0,160.0,INSTALLED,,-1.0,True,,True,,112,2,,GOOD
24,IVOZ-RAMET,HOUSE,HOUSE,220000.0,2.0,100.0,INSTALLED,,-1.0,True,35.0,True,380.0,509,3,,GOOD
25,Herstal,HOUSE,HOUSE,225000.0,2.0,81.0,0,,-1.0,True,9.0,True,104.0,225,3,,JUST_RENOVATED
26,Seraing,HOUSE,HOUSE,225000.0,3.0,180.0,INSTALLED,,1.0,,,True,55.0,150,3,,TO_BE_DONE_UP
27,Liège Wandre,HOUSE,HOUSE,229000.0,3.0,120.0,SEMI_EQUIPPED,False,,True,32.0,True,250.0,503,3,False,TO_BE_DONE_UP
28,Wanze,HOUSE,HOUSE,229000.0,3.0,146.0,INSTALLED,,-1.0,True,65.0,True,186.0,363,3,,GOOD
29,Gesves,HOUSE,HOUSE,229000.0,3.0,181.0,SEMI_EQUIPPED,,-1.0,True,12.0,True,1450.0,1670,3,,TO_BE_DONE_UP
30,pilar de la horadada,APARTMENT,APARTMENT,295000.0,3.0,94.0,0,,,True,,,,UNKNOWN,,True,
31,Evergem,HOUSE,HOUSE,425000.0,3.0,171.0,,,,,,,,826,,False,TO_RENOVATE
32,Brakel,HOUSE,HOUSE,145000.0,3.0,122.0,,,,,,True,,868,,False,TO_RENOVATE
33,Geraardsbergen,HOUSE,HOUSE,168000.0,3.0,104.0,INSTALLED,,,,,,,60,,False,AS_NEW
34,Brugge,HOUSE,HOUSE,335000.0,5.0,229.0,0,False,,True,,,,565,3,False,TO_RENOVATE
35,Pentagone (Bruxelles),HOUSE,APARTMENT_BLOCK,1290000.0,5.0,526.0,,False,,True,16.0,,,105,3,False,
36,Ursel,APARTMENT,APARTMENT,279900.0,2.0,105.0,,False,,,,,,UNKNOWN,2,False,GOOD
37,Laeken,APARTMENT,APARTMENT,269000.0,2.0,95.0,INSTALLED,False,,True,18.0,,,UNKNOWN,2,False,JUST_RENOVATED
38,Lendelede,HOUSE,HOUSE,269000.0,3.0,254.0,0,False,,,,,,333,2,False,GOOD
39,Kortemark,HOUSE,HOUSE,349000.0,3.0,140.0,0,False,,,,,,877,3,False,GOOD
40,Herselt (Ramsel),HOUSE,HOUSE,199000.0,2.0,166.0,0,False,,,,,,508,4,False,TO_RENOVATE
41,Hamme,HOUSE,VILLA,895000.0,4.0,375.0,HYPER_EQUIPPED,False,,True,32.0,,,2549,4,False,GOOD
42,Hasselt,APARTMENT,APARTMENT,229000.0,3.0,105.0,0,False,,True,1.0,,,UNKNOWN,2,False,GOOD
43,Maldegem,HOUSE,HOUSE,270000.0,4.0,,,,,,,,,755,,False,TO_RENOVATE
44,Frasnes-lez-Anvaing,HOUSE,HOUSE,385000.0,4.0,220.0,,,,True,15.0,True,625.0,750,,False,
45,Roeselare,HOUSE,HOUSE,225000.0,3.0,148.0,0,False,,,,True,,188,,False,TO_BE_DONE_UP
46,Lichtervelde,HOUSE,HOUSE,225000.0,4.0,,0,False,,True,,True,,190,,False,TO_RENOVATE
47,Roeselare,APARTMENT_GROUP,APARTMENT_GROUP,,,,0,False,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
48,Brugge,APARTMENT,APARTMENT,398000.0,2.0,85.0,HYPER_EQUIPPED,,,,,,,,3,,AS_NEW
49,Brugge,APARTMENT,APARTMENT,335000.0,2.0,99.0,HYPER_EQUIPPED,,,,,,,,3,,AS_NEW
50,Schilde,HOUSE,VILLA,619000.0,4.0,240.0,0,,1.0,,,True,,1164,,False,AS_NEW
51,De Panne,APARTMENT,FLAT_STUDIO,299000.0,0.0,36.0,INSTALLED,,,True,,,,,,False,JUST_RENOVATED
52,De Panne,APARTMENT,APARTMENT,395000.0,3.0,106.0,INSTALLED,,,True,,,,,,False,AS_NEW
53,De Panne,APARTMENT,APARTMENT,289000.0,2.0,72.0,INSTALLED,,,True,,,,,,False,AS_NEW
54,De Panne,APARTMENT,APARTMENT,470000.0,2.0,87.0,INSTALLED,,,True,,,,,,False,AS_NEW
55,De Panne,APARTMENT,APARTMENT,649000.0,2.0,100.0,HYPER_EQUIPPED,,,True,,,,,,False,JUST_RENOVATED
56,Tisselt,APARTMENT,APARTMENT,185000.0,1.0,,INSTALLED,False,,True,26.0,True,,,2,False,GOOD
57,Sint-Denijs-Westrem,APARTMENT,APARTMENT,415000.0,2.0,89.0,HYPER_EQUIPPED,False,,True,27.0,,,,4,False,
58,Zwijnaarde,APARTMENT,APARTMENT,420000.0,2.0,103.0,,,,True,31.0,True,,,,False,
59,Zwijnaarde,APARTMENT,APARTMENT,435000.0,2.0,103.0,,,,True,31.0,True,,,,False,
60,Woluwe-Saint-Pierre,HOUSE,HOUSE,550000.0,3.0,145.0,NOT_INSTALLED,False,,True,16.0,,,188,3,False,TO_RENOVATE
61,Ledeberg,HOUSE,HOUSE,569000.0,3.0,160.0,,,-1.0,True,25.0,True,700.0,1052,4,,GOOD
62,Beersel,HOUSE,HOUSE,570000.0,6.0,258.0,HYPER_EQUIPPED,,-1.0,True,85.0,True,762.0,1152,2,,GOOD
63,Steenokkerzeel,HOUSE,VILLA,575000.0,4.0,250.0,INSTALLED,False,,True,60.0,True,600.0,1097,4,False,GOOD
64,Halle,HOUSE,HOUSE,590000.0,3.0,175.0,INSTALLED,,-1.0,True,,,,562,4,,GOOD
65,Buizingen,HOUSE,HOUSE,590000.0,3.0,175.0,INSTALLED,,-1.0,True,,,,562,4,,GOOD
66,Laeken,HOUSE,HOUSE,595000.0,4.0,250.0,INSTALLED,False,,True,15.0,True,350.0,459,3,False,TO_BE_DONE_UP
67,Waterloo,HOUSE,VILLA,595000.0,3.0,215.0,INSTALLED,,,True,,True,1100.0,1284,4,False,TO_RENOVATE
68,Grimbergen,HOUSE,MIXED_USE_BUILDING,598000.0,5.0,320.0,INSTALLED,False,,True,25.0,True,78.0,396,2,False,GOOD
69,Beersel,HOUSE,VILLA,599000.0,3.0,251.0,INSTALLED,,-1.0,True,,,,1689,4,,TO_BE_DONE_UP
70,Vilvoorde,HOUSE,EXCEPTIONAL_PROPERTY,599000.0,3.0,210.0,INSTALLED,False,,True,25.0,,,195,2,False,AS_NEW
71,Thimister-Clermont,HOUSE,HOUSE,599000.0,5.0,286.0,INSTALLED,False,,True,,True,1334.0,1334,4,False,GOOD
72,Brussels City,HOUSE,HOUSE,600000.0,7.0,220.0,SEMI_EQUIPPED,False,,True,24.0,True,37.0,13,2,False,GOOD
73,Etterbeek,HOUSE,HOUSE,600000.0,5.0,190.0,INSTALLED,False,,True,15.0,True,50.0,120,2,False,GOOD
74,OETINGEN,HOUSE,HOUSE,620000.0,3.0,250.0,INSTALLED,,-1.0,True,,,,3275,4,,GOOD
75,Anderlecht,HOUSE,HOUSE,645000.0,4.0,320.0,NOT_INSTALLED,False,,True,4.0,,,320,2,False,TO_RENOVATE
76,Wezembeek-Oppem,HOUSE,HOUSE,645000.0,3.0,190.0,INSTALLED,False,,True,,True,350.0,709,4,False,TO_RENOVATE
77,Woluwe-Saint-Pierre,HOUSE,MIXED_USE_BUILDING,649000.0,3.0,200.0,USA_HYPER_EQUIPPED,False,,True,12.0,True,50.0,132,2,False,GOOD
78,Sint-Andries,HOUSE,HOUSE,649000.0,3.0,155.0,HYPER_EQUIPPED,True,,,,,,552,4,False,JUST_RENOVATED
79,Schaerbeek,HOUSE,HOUSE,650000.0,5.0,320.0,INSTALLED,False,,True,20.0,True,80.0,150,2,False,AS_NEW
80,Schaerbeek,HOUSE,APARTMENT_BLOCK,650000.0,3.0,320.0,INSTALLED,False,,True,20.0,True,80.0,150,2,False,AS_NEW
81,Woluwe-Saint-Pierre,HOUSE,HOUSE,675000.0,4.0,155.0,SEMI_EQUIPPED,False,,,,True,100.0,243,3,False,GOOD
82,Wavre,HOUSE,VILLA,675000.0,4.0,200.0,USA_HYPER_EQUIPPED,False,,True,60.0,True,650.0,838,4,False,AS_NEW
83,Woluwe-Saint-Lambert,HOUSE,HOUSE,680000.0,4.0,155.0,USA_HYPER_EQUIPPED,False,,True,7.0,True,312.0,411,2,False,AS_NEW
84,Wetteren,HOUSE,EXCEPTIONAL_PROPERTY,690000.0,7.0,405.0,INSTALLED,True,-1.0,,,True,4534.0,4534,4,,TO_BE_DONE_UP
85,Woluwe-Saint-Pierre,HOUSE,TOWN_HOUSE,695000.0,4.0,188.0,HYPER_EQUIPPED,False,,True,18.0,True,75.0,161,2,False,GOOD
86,Woluwe-Saint-Lambert,HOUSE,HOUSE,695000.0,4.0,190.0,USA_HYPER_EQUIPPED,False,,True,10.0,True,150.0,270,2,False,GOOD
87,Beersel,HOUSE,HOUSE,695000.0,5.0,253.0,SEMI_EQUIPPED,,1.0,,,,,1375,4,,TO_BE_DONE_UP
88,Gooik,HOUSE,HOUSE,695000.0,4.0,240.0,INSTALLED,,-1.0,True,,,,1040,4,,GOOD
89,Anderlecht,HOUSE,APARTMENT_BLOCK,699000.0,5.0,270.0,INSTALLED,,,True,,,,490,2,,GOOD
90,Evere,APARTMENT_GROUP,APARTMENT_GROUP,,,,0,,,,,,,UNKNOWN,UNKNOWN,,UNKNOWN
91,Evere,APARTMENT,APARTMENT,325000.0,1.0,76.0,USA_HYPER_EQUIPPED,,-1.0,True,7.0,,,UNKNOWN,4,,
