,Unnamed: 0,url,region,province,locality,property_type,property_subtype,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state
0,0,https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1020/10289295,Brussels,Brussels,Bruxelles,HOUSE,HOUSE,499000.0,4.0,155.0,HYPER_EQUIPPED,0,0,1,28.0,1,75.0,210,2,0,GOOD
1,1,https://www.immoweb.be/en/classified/house/for-sale/wezembeek-oppem/1970/10590846,Flanders,Flemish Brabant,Wezembeek-Oppem,HOUSE,HOUSE,499000.0,3.0,135.0,INSTALLED,0,0,1,15.0,1,275.0,559,3,0,TO_BE_DONE_UP
2,2,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/gent/9000/10310821,Flanders,East Flanders,Gent,HOUSE_GROUP,HOUSE_GROUP,,0.0,207.7073648685428,NOT_INSTALLED,0,0,0,0.0,0,0.0,UNKNOWN,1,0,
3,3,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/gent/9000/10199441,Flanders,East Flanders,Gent,HOUSE_GROUP,HOUSE_GROUP,,0.0,207.7073648685428,NOT_INSTALLED,0,0,0,0.0,0,0.0,UNKNOWN,1,0,
4,4,https://www.immoweb.be/en/classified/house/for-sale/watermael-boitsfort/1170/10567511,Brussels,Brussels,Watermael-Boitsfort,HOUSE,HOUSE,499500.0,3.0,138.0,USA_INSTALLED,0,0,1,20.0,1,50.0,100,2,0,GOOD
5,5,https://www.immoweb.be/en/classified/villa/for-sale/rixensart%20genval/1332/10502393,Wallonie,Walloon Brabant,Rixensart Genval,HOUSE,VILLA,500000.0,5.0,265.0,SEMI_EQUIPPED,0,0,1,76.0,1,457.0,857,4,0,TO_RENOVATE
6,6,https://www.immoweb.be/en/classified/villa/for-sale/bertem/3061/10639853,Flanders,Flemish Brabant,Bertem,HOUSE,VILLA,510000.0,3.0,168.0,HYPER_EQUIPPED,0,1,1,24.0,1,550.0,702,4,0,GOOD
7,7,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/stekene/9190/10139789,Flanders,East Flanders,Stekene,HOUSE_GROUP,HOUSE_GROUP,,0.0,207.7073648685428,NOT_INSTALLED,0,0,0,0.0,0,0.0,UNKNOWN,1,0,
8,8,https://www.immoweb.be/en/classified/villa/for-sale/rixensart%20genval/1332/10626266,Wallonie,Walloon Brabant,Rixensart Genval,HOUSE,VILLA,515000.0,4.0,176.0,USA_HYPER_EQUIPPED,0,0,1,0.0,0,0.0,362,4,0,GOOD
9,9,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/bierbeek/3360/10439968,Flanders,Flemish Brabant,Bierbeek,HOUSE_GROUP,HOUSE_GROUP,,0.0,207.7073648685428,NOT_INSTALLED,0,0,0,0.0,0,0.0,UNKNOWN,1,0,
10,10,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/tielt-winge/3390/10582525,Flanders,Flemish Brabant,Tielt-Winge,HOUSE_GROUP,HOUSE_GROUP,,0.0,207.7073648685428,NOT_INSTALLED,0,0,0,0.0,0,0.0,UNKNOWN,1,0,
11,11,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/herstal/4040/10569847,Wallonie,Liège,Herstal,HOUSE,MIXED_USE_BUILDING,515000.0,3.0,136.0,NOT_INSTALLED,0,0,1,14.0,0,0.0,2209,3,0,TO_BE_DONE_UP
12,12,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/assesse/5330/10466081,Wallonie,Namur,Assesse,HOUSE_GROUP,HOUSE_GROUP,,0.0,207.7073648685428,NOT_INSTALLED,0,0,0,0.0,0,0.0,UNKNOWN,1,0,
13,13,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/petit-roeulx-lez-nivelles/7181/9414230,Wallonie,Hainaut,PETIT-ROEULX-LEZ-NIVELLES,HOUSE_GROUP,HOUSE_GROUP,,0.0,207.7073648685428,NOT_INSTALLED,0,0,0,0.0,0,0.0,UNKNOWN,1,0,
14,14,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/gent/9000/10310822,Flanders,East Flanders,Gent,HOUSE_GROUP,HOUSE_GROUP,,0.0,207.7073648685428,NOT_INSTALLED,0,0,0,0.0,0,0.0,UNKNOWN,1,0,
15,15,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/gent/9000/10215952,Flanders,East Flanders,Gent,HOUSE_GROUP,HOUSE_GROUP,,0.0,207.7073648685428,NOT_INSTALLED,0,0,0,0.0,0,0.0,UNKNOWN,1,0,
16,16,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/zaventem/1930/10533895,Flanders,Flemish Brabant,Zaventem,HOUSE_GROUP,HOUSE_GROUP,,0.0,207.7073648685428,NOT_INSTALLED,0,0,0,0.0,0,0.0,UNKNOWN,1,0,
17,17,https://www.immoweb.be/en/classified/house/for-sale/laeken/1020/9897905,Brussels,Brussels,Laeken,HOUSE,HOUSE,525000.0,4.0,167.0,INSTALLED,0,0,1,5.0,1,70.0,178,2,0,GOOD
18,18,https://www.immoweb.be/en/classified/apartment-block/for-sale/anderlecht/1070/10613557,Brussels,Brussels,Anderlecht,HOUSE,APARTMENT_BLOCK,525000.0,3.0,240.0,INSTALLED,0,0,1,26.0,1,28.0,131,2,0,GOOD
19,19,https://www.immoweb.be/en/classified/exceptional-property/for-sale/ronse/9600/10648910,Flanders,East Flanders,Ronse,HOUSE,EXCEPTIONAL_PROPERTY,525000.0,4.0,196.0,HYPER_EQUIPPED,0,0,1,40.0,1,5260.0,195,4,0,GOOD
20,20,https://www.immoweb.be/en/classified/bungalow/for-sale/wetteren/9230/10548531,Flanders,East Flanders,Wetteren,HOUSE,BUNGALOW,529000.0,3.0,198.0,HYPER_EQUIPPED,0,0,1,0.0,0,0.0,627,4,0,AS_NEW
21,21,https://www.immoweb.be/en/classified/apartment-block/for-sale/saint-josse-ten-noode/1210/10616826,Brussels,Brussels,Saint-Josse-ten-Noode,HOUSE,APARTMENT_BLOCK,530000.0,3.0,250.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,110,2,0,TO_BE_DONE_UP
22,22,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/hamme/9220/10624554,Flanders,East Flanders,Hamme,HOUSE_GROUP,HOUSE_GROUP,,0.0,207.7073648685428,NOT_INSTALLED,0,0,0,0.0,0,0.0,UNKNOWN,1,0,
23,23,https://www.immoweb.be/en/classified/house/for-sale/laeken/1020/10340869,Brussels,Brussels,Laeken,HOUSE,HOUSE,549000.0,4.0,205.0,INSTALLED,0,0,1,6.0,1,75.0,210,2,0,TO_RENOVATE
24,24,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/humbeek/1851/10502712,Flanders,Flemish Brabant,Humbeek,HOUSE_GROUP,HOUSE_GROUP,,0.0,207.7073648685428,NOT_INSTALLED,0,0,0,0.0,0,0.0,UNKNOWN,1,0,
