locality,latitude,longitude
Ham,49.746322,3.0733031
Putte,51.0570823,4.6310473
IVOZ-RAMET,50.5822766,5.4523491
Herstal,50.6650412,5.629981
Liege,50.6450944,5.5736112
Liège Grivegnée,50.6192957,5.6047622
Charleroi,50.4116459,4.4445264
Marchin,50.4802051,5.2263372
Somme-Leuze,50.3137229,5.3212257
Durbuy,50.3524116,5.456248
ETHE,49.5818622,5.5797776
Huy,50.5180856,5.2408138
Trooz,50.5728102,5.6883726
Olne,50.5901199,5.7479948
Liège,50.6450944,5.5736112
Sprimont,50.5065636,5.6466571
GRAIDE,49.9514336,5.0674675
Modave,50.4416137,5.3017936
Willebroek,51.0630286,4.3575474
Amay,50.5497761,5.3240992
Seraing,50.6152381,5.5089437
Liège Wandre,50.6702136,5.6598274
Wanze,50.5368559,5.2143865
Gesves,50.4028535,5.0776175
pilar de la horadada,37.8675489,-0.7925673
Evergem,51.1187231,3.70582
Brakel,51.7168889,9.1841762
Geraardsbergen,50.7715779,3.8827287
Brugge,51.2085526,3.226772
Pentagone (Bruxelles),50.8464884,4.3536847
Ursel,51.1300675,3.4855189
Laeken,50.883392,4.3487134
Lendelede,50.8854201,3.2310971
Kortemark,51.0314599,3.0368683
Herselt (Ramsel),51.0324718,4.8336098
Hamme,51.0881545,4.1202841
Hasselt,50.9303735,5.3378043
Maldegem,51.2088871,3.4452214
Frasnes-lez-Anvaing,50.6808372,3.6235393
Roeselare,50.9444948,3.124765
Lichtervelde,51.0274096,3.1402247
Schilde,51.257095,4.5955182
De Panne,51.095512,2.5811646
Tisselt,51.033992,4.3598407
Sint-Denijs-Westrem,51.0199405,3.6676767
Zwijnaarde,51.0003917,3.7167702
Woluwe-Saint-Pierre,50.8370253,4.4274636
Ledeberg,51.0372053,3.7414088
Beersel,50.7478412,4.3065271
Steenokkerzeel,50.9093488,4.5110471
Halle,51.4825041,11.9705452
Buizingen,50.7412271,4.2493488
Waterloo,42.498275,-92.3328743
Grimbergen,50.9457843,4.3890967
Vilvoorde,50.928711,4.423126
Thimister-Clermont,50.6533204,5.8625239
Brussels City,50.9421615,4.0388556
Etterbeek,50.8361447,4.3861737
OETINGEN,49.1745826,6.9161261
Anderlecht,50.8390983,4.3296526
Wezembeek-Oppem,50.8440554,4.4871796
Sint-Andries,51.1973292,3.1810364
Schaerbeek,50.8676041,4.3737121
Wavre,50.7169694,4.610416
Woluwe-Saint-Lambert,50.8430448,4.4256732
Wetteren,50.9983603,3.8731041
Gooik,50.7979967,4.1018717
Evere,50.8720096,4.4034182
Edegem,51.1548066,4.4458312
Zelzate,51.2000036,3.8105002
Nivelles,50.5976885,4.3235854
Namur,50.4665284,4.8661892
HERMEE,50.7087526,5.6186068
Kapelle-op-den-Bos,51.0123705,4.3580446
Goesnes,50.440101,5.2217845
Froidmont,48.9630471,6.0811789
Moorslede,50.8900822,3.0732111
Londerzeel,51.0122466,4.2990729
